Method,Path,File,Calls_24h,Status,Recommendation
GET,/api/v3/intel-briefing/{player_name},intel_sync.py,0,UNUSED,DELETE
GET,/api/proxy/nba-headshot/{player_id},image_proxy.py,0,UNUSED,DELETE
GET,/api/headshots/check/{nba_id},headshots.py,0,UNUSED,DELETE
GET,/api/headshots/image/{nba_id},headshots.py,0,UNUSED,DELETE
POST,/api/headshots/download/{nba_id},headshots.py,0,UNUSED,DELETE
GET,/api/v3/momentum/rankings/{stat_type},momentum.py,0,UNUSED,DELETE
GET,/api/v3/momentum/modifier/{opponent}/{stat_type},momentum.py,0,UNUSED,DELETE
GET,/api/v3/momentum/{team}/{stat_type},momentum.py,0,UNUSED,DELETE
GET,/api/api/v3/pro-model/status,pro_model.py,0,UNUSED,DELETE
POST,/api/api/v3/pro-model/train,pro_model.py,0,UNUSED,DELETE
POST,/api/api/v3/pro-model/analyze-features/{stat_type},pro_model.py,0,UNUSED,DELETE
POST,/api/api/v3/pro-model/predict,pro_model.py,0,UNUSED,DELETE
GET,/api/api/v3/pro-model/predict-tier/{tier},pro_model.py,0,UNUSED,DELETE
GET,/api/api/v3/pro-model/backtest/{stat_type},pro_model.py,0,UNUSED,DELETE
GET,/api/api/v3/pro-model/feature-importance/{stat_type},pro_model.py,0,UNUSED,DELETE
GET,/api/api/v3/pro-model/compare-approaches,pro_model.py,0,UNUSED,DELETE
GET,/api/v3/player/{player_name},core_v3.py,0,UNUSED,DELETE
POST,/api/v3/board-intel/delta-sync,board_intel.py,0,UNUSED,DELETE
POST,/api/v3/board-intel/priority-refresh,board_intel.py,0,UNUSED,DELETE
GET,/api/v3/board-intel/schedule-intel-check,board_intel.py,0,UNUSED,DELETE
GET,/api/v3/odds-mapper/lookup/{odds_api_name},odds_mapper.py,0,UNUSED,DELETE
GET,/api/v3/odds-mapper/player-id/{player_id},odds_mapper.py,0,UNUSED,DELETE
GET,/api/api/v3/bdl-advanced/status,bdl_advanced.py,0,UNUSED,DELETE
POST,/api/api/v3/bdl-advanced/fetch-season/{season},bdl_advanced.py,0,UNUSED,DELETE
POST,/api/api/v3/bdl-advanced/fetch-multiple,bdl_advanced.py,0,UNUSED,DELETE
GET,/api/api/v3/bdl-advanced/player/{player_id},bdl_advanced.py,0,UNUSED,DELETE
GET,/api/api/v3/bdl-advanced/player-by-name/{player_name},bdl_advanced.py,0,UNUSED,DELETE
GET,/api/api/v3/bdl-advanced/sample,bdl_advanced.py,0,UNUSED,DELETE
DELETE,/api/api/v3/bdl-advanced/clear,bdl_advanced.py,0,UNUSED,DELETE
GET,/api/api/v3/bdl-advanced/features/{player_name}/{stat_type},bdl_advanced.py,0,UNUSED,DELETE
GET,/api/v3/cached-player/{player_name},board.py,0,UNUSED,DELETE
GET,/api/v3/player/{player_name},board.py,0,UNUSED,DELETE
POST,/api/v3/sync-photos,board.py,0,UNUSED,DELETE
GET,/api/v3/vacuum/beneficiary/{player_name},vacuum.py,0,UNUSED,DELETE
POST,/api/v3/vacuum/clear/{injured_player},vacuum.py,0,UNUSED,DELETE
GET,/api/v3/injuries/player/{player_name},injuries.py,0,UNUSED,DELETE
GET,/api/v3/injuries/team/{team_abbr},injuries.py,0,UNUSED,DELETE
GET,/api/demon-tracker/event/{event_id}/odds,demon_tracker.py,0,UNUSED,DELETE
GET,/api/demon-tracker/cards/yellow,demon_tracker.py,0,UNUSED,DELETE
GET,/api/demon-tracker/player/{player_name},demon_tracker.py,0,UNUSED,DELETE
GET,/api/api/v3/vegas-killer/status,vegas_killer.py,0,UNUSED,DELETE
POST,/api/api/v3/vegas-killer/train,vegas_killer.py,0,UNUSED,DELETE
POST,/api/api/v3/vegas-killer/analyze-features/{stat_type},vegas_killer.py,0,UNUSED,DELETE
POST,/api/api/v3/vegas-killer/predict,vegas_killer.py,0,UNUSED,DELETE
GET,/api/api/v3/vegas-killer/predict-tier/{tier},vegas_killer.py,0,UNUSED,DELETE
GET,/api/api/v3/vegas-killer/feature-breakdown,vegas_killer.py,0,UNUSED,DELETE
GET,/api/api/v3/vegas-killer/compare-all,vegas_killer.py,0,UNUSED,DELETE
GET,/api/api/v3/vegas-killer/backtest/results,vegas_killer.py,0,UNUSED,DELETE
GET,/api/api/v3/vegas-killer/enrich-board,vegas_killer.py,0,UNUSED,DELETE
POST,/api/api/v3/vegas-killer/predict-slate,vegas_killer.py,0,UNUSED,DELETE
GET,/api/roster/players,roster.py,0,UNUSED,DELETE
GET,/api/v3/stale-intel-check,adaptive_sync.py,0,UNUSED,DELETE
POST,/api/v3/adaptive-sync/stop,adaptive_sync.py,0,UNUSED,DELETE
GET,/api/v3/master-hub/player/{player_id},master_hub.py,0,UNUSED,DELETE
GET,/api/v3/master-hub/player/name/{display_name:path},master_hub.py,0,UNUSED,DELETE
POST,/api/v3/master-hub/start-scheduler,master_hub.py,0,UNUSED,DELETE
POST,/api/v3/master-hub/enrich-nba-stats/{bdl_id},master_hub.py,0,UNUSED,DELETE
GET,/api/v3/master-hub/nba-stats/{bdl_id},master_hub.py,0,UNUSED,DELETE
POST,/api/v3/master-hub/enrich-all-nba-stats,master_hub.py,0,UNUSED,DELETE
GET,/api/v3/master-hub/career-stats/{player_name},master_hub.py,0,UNUSED,DELETE
POST,/api/v3/master-hub/sync-bdl-player/{player_name},master_hub.py,0,UNUSED,DELETE
POST,/api/v3/master-hub/sync-player-logs/{player_name},master_hub.py,0,UNUSED,DELETE
GET,/api/v3/master-hub/bdl-sample/{player_name},master_hub.py,0,UNUSED,DELETE
POST,/api/v3/master-hub/sync-roster-player/{player_name},master_hub.py,0,UNUSED,DELETE
GET,/api/v3/master-hub/contract-year-players,master_hub.py,0,UNUSED,DELETE
GET,/api/v3/master-hub/contract/{player_name},master_hub.py,0,UNUSED,DELETE
POST,/api/v3/master-hub/enrich-player-game-values/{bdl_id},master_hub.py,0,UNUSED,DELETE
POST,/api/v3/master-hub/add-badge/{player_name},master_hub.py,0,UNUSED,DELETE
GET,/api/v3/intel-briefing/{player_name},intel.py,0,UNUSED,DELETE
GET,/api/v3/sidecar/analyze/{player_name},cached_data.py,0,UNUSED,DELETE
GET,/api/v3/test-badges/{player_name},cached_data.py,0,UNUSED,DELETE
GET,/api/v3/player-with-badges/{player_name},cached_data.py,0,UNUSED,DELETE
POST,/api/clear-expired-cache,admin.py,0,UNUSED,DELETE
GET,/api/dvp-analysis/{opponent_team}/{stat_type},admin.py,0,UNUSED,DELETE
