combo,hr_min,edg_min,tp_min,cv_max,side,n_total,n_graded,wins,losses,HR_pct,HR_ci_lo,HR_ci_hi,ROI_pct,ROI_ci_lo,ROI_ci_hi,P_and_L,consistency,graded_days
HR≥-/EDG≥2.5/TP≥55.0/CV≤0.6/ANY,,2.5,55.0,0.6,ANY,112,101,62,39,61.39,51.64,70.3,-3.27,-18.42,11.88,-3.305,0.5,12
HR≥50.0/EDG≥-/TP≥40.0/CV≤0.7/ANY,50.0,,40.0,0.7,ANY,219,202,118,84,58.42,51.52,64.99,-3.28,-14.94,8.38,-6.633,0.385,13
HR≥-/EDG≥-/TP≥40.0/CV≤0.5/ANY,,,40.0,0.5,ANY,467,428,229,199,53.5,48.77,58.18,-3.29,-12.09,5.52,-14.071,0.231,13
HR≥-/EDG≥10.0/TP≥50.0/CV≤0.7/ANY,,10.0,50.0,0.7,ANY,120,107,62,45,57.94,48.47,66.86,-3.37,-19.22,12.49,-3.601,0.385,13
HR≥50.0/EDG≥5.0/TP≥50.0/CV≤0.55/ANY,50.0,5.0,50.0,0.55,ANY,56,50,30,20,60.0,46.18,72.39,-3.39,-25.73,18.94,-1.697,0.583,12
HR≥-/EDG≥0.0/TP≥50.0/CV≤0.7/UNDER,,0.0,50.0,0.7,UNDER,62,58,33,25,56.9,44.12,68.82,-3.46,-25.54,18.62,-2.007,0.583,12
HR≥-/EDG≥2.5/TP≥50.0/CV≤0.55/ANY,,2.5,50.0,0.55,ANY,136,123,72,51,58.54,49.7,66.86,-3.46,-18.04,11.12,-4.257,0.462,13
HR≥-/EDG≥-/TP≥-/CV≤0.6/ANY,,,,0.6,ANY,603,549,295,254,53.73,49.55,57.86,-3.55,-11.27,4.17,-19.477,0.154,13
HR≥60.0/EDG≥-/TP≥-/CV≤0.6/ANY,60.0,,,0.6,ANY,86,79,47,32,59.49,48.47,69.63,-3.58,-21.95,14.79,-2.828,0.364,11
HR≥60.0/EDG≥-/TP≥-/CV≤0.7/ANY,60.0,,,0.7,ANY,89,82,49,33,59.76,48.94,69.7,-3.58,-21.5,14.34,-2.938,0.273,11
HR≥-/EDG≥5.0/TP≥50.0/CV≤0.45/ANY,,5.0,50.0,0.45,ANY,86,77,45,32,58.44,47.29,68.79,-3.61,-22.07,14.84,-2.783,0.538,13
HR≥-/EDG≥2.5/TP≥55.0/CV≤0.7/ANY,,2.5,55.0,0.7,ANY,123,111,68,43,61.26,51.97,69.8,-3.66,-18.09,10.77,-4.066,0.5,12
HR≥50.0/EDG≥5.0/TP≥50.0/CV≤-/OVER,50.0,5.0,50.0,,OVER,62,55,33,22,60.0,46.81,71.88,-3.69,-24.88,17.51,-2.028,0.5,12
HR≥60.0/EDG≥-/TP≥40.0/CV≤0.45/ANY,60.0,,40.0,0.45,ANY,67,60,35,25,58.33,45.73,69.94,-3.69,-25.21,17.83,-2.214,0.545,11
HR≥55.0/EDG≥-/TP≥60.0/CV≤0.7/ANY,55.0,,60.0,0.7,ANY,59,55,37,18,67.27,54.1,78.19,-3.71,-21.69,14.27,-2.04,0.417,12
HR≥55.0/EDG≥-/TP≥60.0/CV≤0.7/OVER,55.0,,60.0,0.7,OVER,59,55,37,18,67.27,54.1,78.19,-3.71,-21.69,14.27,-2.04,0.417,12
HR≥55.0/EDG≥-/TP≥-/CV≤0.55/ANY,55.0,,,0.55,ANY,111,102,60,42,58.82,49.12,67.88,-3.72,-20.01,12.56,-3.798,0.417,12
HR≥-/EDG≥10.0/TP≥50.0/CV≤-/OVER,,10.0,50.0,,OVER,80,70,41,29,58.57,46.88,69.37,-3.78,-23.06,15.49,-2.647,0.462,13
HR≥-/EDG≥-5.0/TP≥65.0/CV≤0.55/ANY,,-5.0,65.0,0.55,ANY,59,54,36,18,66.67,53.36,77.76,-3.81,-22.17,14.55,-2.058,0.417,12
HR≥-/EDG≥-/TP≥60.0/CV≤-/OVER,,,60.0,,OVER,116,107,71,36,66.36,56.97,74.6,-3.82,-16.91,9.27,-4.091,0.333,12
HR≥-/EDG≥-/TP≥40.0/CV≤0.7/ANY,,,40.0,0.7,ANY,679,619,332,287,53.63,49.7,57.53,-3.85,-11.1,3.41,-23.807,0.077,13
HR≥-/EDG≥-2.5/TP≥65.0/CV≤-/ANY,,-2.5,65.0,,ANY,75,69,46,23,66.67,54.93,76.65,-3.86,-20.08,12.35,-2.666,0.417,12
HR≥-/EDG≥-/TP≥-/CV≤0.7/ANY,,,,0.7,ANY,690,627,336,291,53.59,49.67,57.46,-3.87,-11.09,3.35,-24.28,0.077,13
HR≥-/EDG≥7.5/TP≥55.0/CV≤0.6/ANY,,7.5,55.0,0.6,ANY,86,78,47,31,60.26,49.16,70.39,-3.94,-21.48,13.59,-3.077,0.583,12
HR≥-/EDG≥-/TP≥40.0/CV≤0.6/ANY,,,40.0,0.6,ANY,598,545,292,253,53.58,49.38,57.73,-3.97,-11.7,3.76,-21.641,0.154,13
HR≥-/EDG≥0.0/TP≥50.0/CV≤0.55/ANY,,0.0,50.0,0.55,ANY,153,139,81,58,58.27,49.96,66.14,-3.97,-17.67,9.74,-5.513,0.462,13
HR≥-/EDG≥-2.5/TP≥65.0/CV≤0.7/ANY,,-2.5,65.0,0.7,ANY,68,63,42,21,66.67,54.37,77.05,-3.99,-20.95,12.96,-2.516,0.417,12
HR≥55.0/EDG≥-/TP≥-/CV≤0.6/ANY,55.0,,,0.6,ANY,122,113,67,46,59.29,50.07,67.9,-4.0,-19.27,11.26,-4.526,0.417,12
HR≥-/EDG≥-2.5/TP≥65.0/CV≤-/OVER,,-2.5,65.0,,OVER,68,62,41,21,66.13,53.72,76.66,-4.02,-21.31,13.28,-2.49,0.333,12
HR≥60.0/EDG≥-/TP≥-/CV≤0.5/ANY,60.0,,,0.5,ANY,76,69,40,29,57.97,46.21,68.89,-4.05,-24.24,16.14,-2.796,0.455,11
HR≥-/EDG≥10.0/TP≥50.0/CV≤-/ANY,,10.0,50.0,,ANY,130,115,66,49,57.39,48.26,66.05,-4.06,-19.4,11.27,-4.673,0.538,13
HR≥60.0/EDG≥-/TP≥-/CV≤0.5/OVER,60.0,,,0.5,OVER,57,51,32,19,62.75,49.02,74.68,-4.06,-24.85,16.74,-2.07,0.545,11
HR≥60.0/EDG≥-/TP≥40.0/CV≤0.5/OVER,60.0,,40.0,0.5,OVER,57,51,32,19,62.75,49.02,74.68,-4.06,-24.85,16.74,-2.07,0.545,11
HR≥-/EDG≥10.0/TP≥50.0/CV≤0.5/OVER,,10.0,50.0,0.5,OVER,60,51,30,21,58.82,45.17,71.25,-4.09,-26.51,18.33,-2.087,0.462,13
HR≥-/EDG≥5.0/TP≥55.0/CV≤-/ANY,,5.0,55.0,,ANY,114,103,62,41,60.19,50.54,69.12,-4.12,-19.35,11.12,-4.242,0.417,12
HR≥-/EDG≥10.0/TP≥50.0/CV≤0.6/OVER,,10.0,50.0,0.6,OVER,74,65,38,27,58.46,46.34,69.64,-4.12,-24.1,15.87,-2.675,0.385,13
HR≥-/EDG≥-/TP≥40.0/CV≤-/ANY,,,40.0,,ANY,756,687,367,320,53.42,49.68,57.12,-4.14,-11.03,2.76,-28.413,0.077,13
HR≥-/EDG≥-/TP≥-/CV≤-/ANY,,,,,ANY,772,700,374,326,53.43,49.72,57.1,-4.22,-11.04,2.61,-29.508,0.077,13
HR≥-/EDG≥7.5/TP≥50.0/CV≤0.55/ANY,,7.5,50.0,0.55,ANY,106,95,55,40,57.89,47.85,67.33,-4.23,-20.91,12.45,-4.02,0.385,13
HR≥50.0/EDG≥-/TP≥40.0/CV≤-/ANY,50.0,,40.0,,ANY,236,215,124,91,57.67,50.99,64.09,-4.27,-15.62,7.08,-9.18,0.385,13
HR≥-/EDG≥-/TP≥40.0/CV≤0.3/ANY,,,40.0,0.3,ANY,63,56,30,26,53.57,40.7,65.98,-4.3,-28.57,19.98,-2.405,0.556,9
HR≥-/EDG≥0.0/TP≥50.0/CV≤0.45/ANY,,0.0,50.0,0.45,ANY,110,99,58,41,58.59,48.74,67.79,-4.32,-20.42,11.77,-4.28,0.462,13
HR≥-/EDG≥-2.5/TP≥65.0/CV≤0.7/OVER,,-2.5,65.0,0.7,OVER,64,59,39,20,66.1,53.37,76.86,-4.33,-22.01,13.36,-2.554,0.417,12
HR≥55.0/EDG≥-/TP≥-/CV≤0.7/ANY,55.0,,,0.7,ANY,127,118,70,48,59.32,50.3,67.76,-4.44,-19.29,10.41,-5.236,0.333,12
HR≥-/EDG≥7.5/TP≥50.0/CV≤0.5/ANY,,7.5,50.0,0.5,ANY,96,85,49,36,57.65,47.04,67.6,-4.46,-22.14,13.23,-3.789,0.385,13
HR≥-/EDG≥5.0/TP≥55.0/CV≤0.55/ANY,,5.0,55.0,0.55,ANY,84,75,45,30,60.0,48.69,70.34,-4.53,-22.41,13.35,-3.397,0.417,12
HR≥-/EDG≥10.0/TP≥50.0/CV≤0.6/ANY,,10.0,50.0,0.6,ANY,105,94,54,40,57.45,47.35,66.96,-4.54,-21.39,12.31,-4.264,0.385,13
HR≥-/EDG≥2.5/TP≥55.0/CV≤0.45/ANY,,2.5,55.0,0.45,ANY,73,66,40,26,60.61,48.55,71.5,-4.55,-23.39,14.29,-3.001,0.667,12
HR≥-/EDG≥7.5/TP≥55.0/CV≤0.5/ANY,,7.5,55.0,0.5,ANY,70,62,37,25,59.68,47.25,70.98,-4.62,-24.44,15.2,-2.864,0.5,12
HR≥55.0/EDG≥-/TP≥40.0/CV≤0.5/ANY,55.0,,40.0,0.5,ANY,105,96,56,40,58.33,48.34,67.69,-4.67,-21.4,12.06,-4.484,0.417,12
HR≥-/EDG≥2.5/TP≥55.0/CV≤0.5/ANY,,2.5,55.0,0.5,ANY,89,80,48,32,60.0,49.05,70.04,-4.68,-21.96,12.61,-3.741,0.583,12
HR≥60.0/EDG≥-/TP≥40.0/CV≤-/ANY,60.0,,40.0,,ANY,90,82,49,33,59.76,48.94,69.7,-4.8,-22.4,12.8,-3.938,0.273,11
HR≥55.0/EDG≥-/TP≥-/CV≤-/ANY,55.0,,,,ANY,132,120,71,49,59.17,50.22,67.54,-4.82,-19.53,9.89,-5.785,0.333,12
HR≥-/EDG≥7.5/TP≥55.0/CV≤-/ANY,,7.5,55.0,,ANY,104,94,56,38,59.57,49.47,68.93,-4.93,-20.96,11.1,-4.632,0.417,12
HR≥-/EDG≥5.0/TP≥55.0/CV≤0.7/ANY,,5.0,55.0,0.7,ANY,102,92,55,37,59.78,49.57,69.22,-5.16,-21.25,10.93,-4.743,0.417,12
HR≥55.0/EDG≥-/TP≥40.0/CV≤0.55/ANY,55.0,,40.0,0.55,ANY,110,101,59,42,58.42,48.67,67.55,-5.2,-21.38,10.99,-5.248,0.417,12
HR≥-/EDG≥0.0/TP≥55.0/CV≤0.55/ANY,,0.0,55.0,0.55,ANY,111,100,60,40,60.0,50.2,69.06,-5.23,-20.58,10.12,-5.232,0.583,12
HR≥55.0/EDG≥-/TP≥40.0/CV≤0.6/ANY,55.0,,40.0,0.6,ANY,121,112,66,46,58.93,49.67,67.6,-5.34,-20.51,9.84,-5.976,0.417,12
HR≥-/EDG≥7.5/TP≥50.0/CV≤-/UNDER,,7.5,50.0,,UNDER,56,51,28,23,54.9,41.38,67.73,-5.36,-29.38,18.66,-2.732,0.5,12
HR≥60.0/EDG≥-/TP≥40.0/CV≤0.7/ANY,60.0,,40.0,0.7,ANY,88,81,48,33,59.26,48.38,69.3,-5.42,-23.19,12.36,-4.388,0.273,11
HR≥55.0/EDG≥-/TP≥60.0/CV≤-/ANY,55.0,,60.0,,ANY,61,56,37,19,66.07,53.0,77.08,-5.43,-23.4,12.54,-3.04,0.417,12
HR≥55.0/EDG≥-/TP≥60.0/CV≤-/OVER,55.0,,60.0,,OVER,61,56,37,19,66.07,53.0,77.08,-5.43,-23.4,12.54,-3.04,0.417,12
HR≥-/EDG≥2.5/TP≥50.0/CV≤0.45/ANY,,2.5,50.0,0.45,ANY,100,90,52,38,57.78,47.46,67.46,-5.44,-22.41,11.53,-4.896,0.538,13
HR≥60.0/EDG≥-/TP≥40.0/CV≤0.6/ANY,60.0,,40.0,0.6,ANY,85,78,46,32,58.97,47.89,69.22,-5.48,-23.7,12.73,-4.278,0.364,11
HR≥-/EDG≥7.5/TP≥55.0/CV≤0.55/ANY,,7.5,55.0,0.55,ANY,77,69,41,28,59.42,47.64,70.21,-5.52,-24.2,13.17,-3.806,0.5,12
HR≥-/EDG≥0.0/TP≥60.0/CV≤-/ANY,,0.0,60.0,,ANY,70,65,42,23,64.62,52.47,75.12,-5.53,-22.72,11.65,-3.597,0.417,12
HR≥-/EDG≥-/TP≥55.0/CV≤-/UNDER,,,55.0,,UNDER,108,98,57,41,58.16,48.27,67.44,-5.65,-21.69,10.39,-5.534,0.5,12
HR≥-/EDG≥-5.0/TP≥70.0/CV≤-/ANY,,-5.0,70.0,,ANY,59,55,36,19,65.45,52.25,76.64,-5.71,-24.05,12.62,-3.142,0.417,12
HR≥-/EDG≥-5.0/TP≥70.0/CV≤0.7/ANY,,-5.0,70.0,0.7,ANY,59,55,36,19,65.45,52.25,76.64,-5.71,-24.05,12.62,-3.142,0.417,12
HR≥55.0/EDG≥-/TP≥40.0/CV≤0.7/ANY,55.0,,40.0,0.7,ANY,126,117,69,48,58.97,49.91,67.46,-5.71,-20.48,9.05,-6.686,0.333,12
HR≥-/EDG≥10.0/TP≥50.0/CV≤0.55/OVER,,10.0,50.0,0.55,OVER,66,57,33,24,57.89,44.98,69.81,-5.75,-26.98,15.49,-3.276,0.308,13
HR≥-/EDG≥2.5/TP≥55.0/CV≤0.55/ANY,,2.5,55.0,0.55,ANY,99,89,53,36,59.55,49.16,69.15,-5.95,-22.26,10.36,-5.298,0.583,12
HR≥-/EDG≥-2.5/TP≥65.0/CV≤0.6/OVER,,-2.5,65.0,0.6,OVER,62,57,37,20,64.91,51.94,76.0,-5.99,-24.15,12.17,-3.415,0.417,12
HR≥-/EDG≥7.5/TP≥55.0/CV≤0.7/ANY,,7.5,55.0,0.7,ANY,95,86,51,35,59.3,48.74,69.07,-5.99,-22.66,10.68,-5.153,0.5,12
HR≥-/EDG≥0.0/TP≥60.0/CV≤0.7/ANY,,0.0,60.0,0.7,ANY,64,59,38,21,64.41,51.66,75.4,-6.04,-24.08,11.99,-3.565,0.417,12
HR≥-/EDG≥-/TP≥55.0/CV≤0.6/UNDER,,,55.0,0.6,UNDER,80,73,42,31,57.53,46.1,68.22,-6.06,-24.82,12.7,-4.423,0.5,12
HR≥-/EDG≥5.0/TP≥50.0/CV≤-/UNDER,,5.0,50.0,,UNDER,60,55,30,25,54.55,41.52,66.97,-6.07,-29.16,17.02,-3.338,0.5,12
HR≥55.0/EDG≥-/TP≥40.0/CV≤-/ANY,55.0,,40.0,,ANY,131,119,70,49,58.82,49.84,67.26,-6.08,-20.7,8.54,-7.235,0.333,12
HR≥60.0/EDG≥-/TP≥-/CV≤0.55/ANY,60.0,,,0.55,ANY,79,72,41,31,56.94,45.44,67.74,-6.13,-25.85,13.6,-4.411,0.364,11
HR≥-/EDG≥-/TP≥50.0/CV≤-/UNDER,,,50.0,,UNDER,170,158,87,71,55.06,47.28,62.61,-6.15,-19.54,7.24,-9.719,0.333,12
HR≥-/EDG≥-2.5/TP≥65.0/CV≤0.6/ANY,,-2.5,65.0,0.6,ANY,65,60,39,21,65.0,52.36,75.83,-6.19,-23.82,11.43,-3.716,0.417,12
HR≥60.0/EDG≥-/TP≥40.0/CV≤0.5/ANY,60.0,,40.0,0.5,ANY,75,68,39,29,57.35,45.52,68.4,-6.24,-26.26,13.77,-4.246,0.364,11
HR≥-/EDG≥0.0/TP≥60.0/CV≤-/OVER,,0.0,60.0,,OVER,60,55,35,20,63.64,50.42,75.07,-6.27,-25.22,12.69,-3.447,0.417,12
HR≥-/EDG≥-5.0/TP≥-/CV≤-/UNDER,,-5.0,,,UNDER,160,145,73,72,50.34,42.3,58.37,-6.43,-21.94,9.07,-9.329,0.385,13
HR≥-/EDG≥-5.0/TP≥70.0/CV≤-/OVER,,-5.0,70.0,,OVER,58,54,35,19,64.81,51.48,76.18,-6.45,-25.07,12.17,-3.481,0.417,12
HR≥-/EDG≥-5.0/TP≥70.0/CV≤0.7/OVER,,-5.0,70.0,0.7,OVER,58,54,35,19,64.81,51.48,76.18,-6.45,-25.07,12.17,-3.481,0.417,12
HR≥-/EDG≥-/TP≥55.0/CV≤0.7/UNDER,,,55.0,0.7,UNDER,93,85,49,36,57.65,47.04,67.6,-6.62,-23.85,10.61,-5.629,0.333,12
HR≥60.0/EDG≥-/TP≥-/CV≤0.55/OVER,60.0,,,0.55,OVER,60,54,33,21,61.11,47.79,72.96,-6.83,-27.12,13.47,-3.686,0.545,11
HR≥60.0/EDG≥-/TP≥40.0/CV≤0.55/OVER,60.0,,40.0,0.55,OVER,60,54,33,21,61.11,47.79,72.96,-6.83,-27.12,13.47,-3.686,0.545,11
HR≥-/EDG≥-2.5/TP≥65.0/CV≤0.55/ANY,,-2.5,65.0,0.55,ANY,55,50,32,18,64.0,50.14,75.86,-7.21,-26.74,12.33,-3.604,0.417,12
HR≥-/EDG≥-2.5/TP≥-/CV≤-/UNDER,,-2.5,,,UNDER,151,138,69,69,50.0,41.77,58.23,-7.25,-23.12,8.62,-10.002,0.462,13
HR≥-/EDG≥-2.5/TP≥70.0/CV≤-/ANY,,-2.5,70.0,,ANY,57,53,34,19,64.15,50.69,75.7,-7.25,-26.16,11.65,-3.844,0.333,12
HR≥-/EDG≥-2.5/TP≥70.0/CV≤0.7/ANY,,-2.5,70.0,0.7,ANY,57,53,34,19,64.15,50.69,75.7,-7.25,-26.16,11.65,-3.844,0.333,12
HR≥-/EDG≥10.0/TP≥55.0/CV≤0.6/ANY,,10.0,55.0,0.6,ANY,77,69,40,29,57.97,46.21,68.89,-7.32,-26.19,11.55,-5.05,0.5,12
HR≥-/EDG≥10.0/TP≥50.0/CV≤0.55/ANY,,10.0,50.0,0.55,ANY,95,84,47,37,55.95,45.31,66.08,-7.42,-25.25,10.41,-6.232,0.308,13
HR≥-/EDG≥10.0/TP≥55.0/CV≤-/ANY,,10.0,55.0,,ANY,93,83,48,35,57.83,47.09,67.88,-7.47,-24.69,9.75,-6.197,0.417,12
HR≥-/EDG≥-5.0/TP≥70.0/CV≤0.6/ANY,,-5.0,70.0,0.6,ANY,57,53,34,19,64.15,50.69,75.7,-7.55,-26.4,11.3,-4.003,0.417,12
HR≥-/EDG≥2.5/TP≥-/CV≤0.7/UNDER,,2.5,,0.7,UNDER,102,92,46,46,50.0,39.99,60.01,-7.79,-27.14,11.56,-7.166,0.385,13
HR≥-/EDG≥-/TP≥-/CV≤0.35/UNDER,,,,0.35,UNDER,61,56,28,28,50.0,37.33,62.67,-7.85,-32.81,17.11,-4.395,0.5,12
HR≥-/EDG≥0.0/TP≥60.0/CV≤0.7/OVER,,0.0,60.0,0.7,OVER,56,51,32,19,62.75,49.02,74.68,-7.92,-27.64,11.81,-4.037,0.417,12
HR≥-/EDG≥-/TP≥50.0/CV≤0.7/UNDER,,,50.0,0.7,UNDER,150,141,76,65,53.9,45.68,61.92,-7.94,-22.18,6.3,-11.192,0.167,12
HR≥-/EDG≥10.0/TP≥55.0/CV≤0.5/ANY,,10.0,55.0,0.5,ANY,62,54,31,23,57.41,44.16,69.67,-7.96,-29.44,13.52,-4.297,0.417,12
HR≥-/EDG≥2.5/TP≥60.0/CV≤-/ANY,,2.5,60.0,,ANY,63,59,37,22,62.71,49.95,73.92,-7.97,-26.29,10.36,-4.701,0.417,12
HR≥-/EDG≥0.0/TP≥-/CV≤-/UNDER,,0.0,,,UNDER,137,125,62,63,49.6,40.98,58.25,-7.98,-24.65,8.7,-9.972,0.462,13
HR≥-/EDG≥-2.5/TP≥70.0/CV≤-/OVER,,-2.5,70.0,,OVER,56,52,33,19,63.46,49.87,75.2,-8.04,-27.25,11.16,-4.183,0.333,12
HR≥-/EDG≥-2.5/TP≥70.0/CV≤0.7/OVER,,-2.5,70.0,0.7,OVER,56,52,33,19,63.46,49.87,75.2,-8.04,-27.25,11.16,-4.183,0.333,12
HR≥-/EDG≥10.0/TP≥55.0/CV≤0.7/ANY,,10.0,55.0,0.7,ANY,85,76,44,32,57.89,46.68,68.35,-8.06,-25.92,9.8,-6.126,0.5,12
HR≥-/EDG≥10.0/TP≥50.0/CV≤0.5/ANY,,10.0,50.0,0.5,ANY,85,74,41,33,55.41,44.09,66.18,-8.11,-27.18,10.96,-6.0,0.308,13
HR≥60.0/EDG≥-/TP≥40.0/CV≤0.55/ANY,60.0,,40.0,0.55,ANY,78,71,40,31,56.34,44.77,67.25,-8.26,-27.81,11.3,-5.861,0.364,11
HR≥-/EDG≥-5.0/TP≥70.0/CV≤0.6/OVER,,-5.0,70.0,0.6,OVER,56,52,33,19,63.46,49.87,75.2,-8.35,-27.5,10.8,-4.342,0.417,12
HR≥-/EDG≥7.5/TP≥50.0/CV≤0.45/ANY,,7.5,50.0,0.45,ANY,75,66,37,29,56.06,44.08,67.37,-8.39,-28.29,11.51,-5.539,0.5,12
HR≥-/EDG≥-5.0/TP≥-/CV≤0.7/UNDER,,-5.0,,0.7,UNDER,134,120,59,61,49.17,40.39,58.0,-8.47,-25.54,8.6,-10.167,0.462,13
HR≥-/EDG≥-5.0/TP≥40.0/CV≤-/UNDER,,-5.0,40.0,,UNDER,158,143,71,72,49.65,41.57,57.75,-8.48,-23.94,6.98,-12.129,0.385,13
HR≥-/EDG≥0.0/TP≥65.0/CV≤0.7/ANY,,0.0,65.0,0.7,ANY,59,54,34,20,62.96,49.63,74.58,-8.56,-27.5,10.37,-4.625,0.333,12
HR≥-/EDG≥10.0/TP≥55.0/CV≤0.55/ANY,,10.0,55.0,0.55,ANY,69,61,35,26,57.38,44.9,68.98,-8.59,-28.65,11.47,-5.239,0.5,12
HR≥-/EDG≥0.0/TP≥65.0/CV≤-/OVER,,0.0,65.0,,OVER,58,53,33,20,62.26,48.81,74.06,-8.68,-28.05,10.7,-4.598,0.417,12
HR≥-/EDG≥2.5/TP≥-/CV≤-/UNDER,,2.5,,,UNDER,122,111,55,56,49.55,40.42,58.71,-8.74,-26.3,8.82,-9.703,0.462,13
HR≥-/EDG≥0.0/TP≥65.0/CV≤-/ANY,,0.0,65.0,,ANY,64,59,37,22,62.71,49.95,73.92,-8.78,-26.94,9.37,-5.183,0.417,12
HR≥-/EDG≥2.5/TP≥60.0/CV≤0.7/ANY,,2.5,60.0,0.7,ANY,57,53,33,20,62.26,48.81,74.06,-8.81,-28.17,10.55,-4.669,0.417,12
HR≥-/EDG≥-/TP≥70.0/CV≤-/ANY,,,70.0,,ANY,62,57,36,21,63.16,50.18,74.48,-9.02,-27.28,9.24,-5.142,0.417,12
HR≥-/EDG≥-/TP≥70.0/CV≤0.7/ANY,,,70.0,0.7,ANY,62,57,36,21,63.16,50.18,74.48,-9.02,-27.28,9.24,-5.142,0.417,12
HR≥-/EDG≥-2.5/TP≥70.0/CV≤0.6/ANY,,-2.5,70.0,0.6,ANY,55,51,32,19,62.75,49.02,74.68,-9.22,-28.68,10.23,-4.705,0.333,12
HR≥-/EDG≥-/TP≥70.0/CV≤0.6/ANY,,,70.0,0.6,ANY,59,54,34,20,62.96,49.63,74.58,-9.26,-28.06,9.54,-5.003,0.417,12
HR≥-/EDG≥0.0/TP≥65.0/CV≤0.7/OVER,,0.0,65.0,0.7,OVER,55,50,31,19,62.0,48.15,74.14,-9.32,-29.25,10.6,-4.662,0.333,12
HR≥-/EDG≥-2.5/TP≥40.0/CV≤-/UNDER,,-2.5,40.0,,UNDER,149,136,67,69,49.26,41.0,57.57,-9.41,-25.23,6.4,-12.802,0.308,13
HR≥-/EDG≥0.0/TP≥60.0/CV≤0.6/ANY,,0.0,60.0,0.6,ANY,60,55,34,21,61.82,48.61,73.48,-9.45,-28.49,9.58,-5.199,0.333,12
HR≥-/EDG≥2.5/TP≥40.0/CV≤0.7/UNDER,,2.5,40.0,0.7,UNDER,101,91,45,46,49.45,39.41,59.54,-9.47,-28.75,9.81,-8.616,0.308,13
HR≥-/EDG≥-/TP≥70.0/CV≤-/OVER,,,70.0,,OVER,61,56,35,21,62.5,49.41,73.99,-9.79,-28.31,8.74,-5.481,0.417,12
HR≥-/EDG≥-/TP≥70.0/CV≤0.7/OVER,,,70.0,0.7,OVER,61,56,35,21,62.5,49.41,73.99,-9.79,-28.31,8.74,-5.481,0.417,12
HR≥-/EDG≥2.5/TP≥-/CV≤0.6/UNDER,,2.5,,0.6,UNDER,80,73,36,37,49.32,38.17,60.53,-9.8,-31.33,11.72,-7.156,0.417,12
HR≥-/EDG≥0.0/TP≥-/CV≤0.7/UNDER,,0.0,,0.7,UNDER,114,103,50,53,48.54,39.12,58.07,-9.95,-28.33,8.42,-10.253,0.462,13
HR≥-/EDG≥-/TP≥70.0/CV≤0.6/OVER,,,70.0,0.6,OVER,58,53,33,20,62.26,48.81,74.06,-10.08,-29.17,9.01,-5.342,0.417,12
HR≥-/EDG≥-2.5/TP≥70.0/CV≤0.6/OVER,,-2.5,70.0,0.6,OVER,54,50,31,19,62.0,48.15,74.14,-10.09,-29.86,9.68,-5.044,0.333,12
HR≥-/EDG≥2.5/TP≥40.0/CV≤-/UNDER,,2.5,40.0,,UNDER,121,110,54,56,49.09,39.94,58.31,-10.14,-27.65,7.37,-11.153,0.385,13
HR≥-/EDG≥5.0/TP≥-/CV≤0.55/UNDER,,5.0,,0.55,UNDER,65,60,29,31,48.33,36.17,60.69,-10.24,-34.28,13.8,-6.143,0.5,12
HR≥-/EDG≥0.0/TP≥40.0/CV≤-/UNDER,,0.0,40.0,,UNDER,135,123,60,63,48.78,40.12,57.52,-10.38,-26.99,6.22,-12.772,0.308,13
HR≥-/EDG≥-2.5/TP≥-/CV≤0.7/UNDER,,-2.5,,0.7,UNDER,126,114,55,59,48.25,39.28,57.33,-10.39,-27.85,7.08,-11.84,0.385,13
HR≥-/EDG≥-/TP≥50.0/CV≤0.6/UNDER,,,50.0,0.6,UNDER,129,122,64,58,52.46,43.66,61.11,-10.4,-25.72,4.92,-12.687,0.25,12
HR≥-/EDG≥-/TP≥55.0/CV≤0.55/UNDER,,,55.0,0.55,UNDER,69,62,34,28,54.84,42.53,66.58,-10.44,-30.95,10.07,-6.473,0.333,12
HR≥-/EDG≥-/TP≥40.0/CV≤0.35/UNDER,,,40.0,0.35,UNDER,60,55,27,28,49.09,36.38,61.92,-10.63,-35.43,14.18,-5.845,0.5,12
HR≥-/EDG≥5.0/TP≥-/CV≤0.7/UNDER,,5.0,,0.7,UNDER,91,81,39,42,48.15,37.6,58.86,-10.64,-31.32,10.03,-8.622,0.385,13
HR≥-/EDG≥-5.0/TP≥40.0/CV≤0.7/UNDER,,-5.0,40.0,0.7,UNDER,132,118,57,61,48.31,39.49,57.23,-10.99,-27.99,6.01,-12.967,0.462,13
HR≥-/EDG≥2.5/TP≥-/CV≤0.55/UNDER,,2.5,,0.55,UNDER,70,65,31,34,47.69,36.02,59.62,-11.22,-34.39,11.95,-7.293,0.5,12
HR≥-/EDG≥0.0/TP≥65.0/CV≤0.6/ANY,,0.0,65.0,0.6,ANY,56,51,31,20,60.78,47.08,72.97,-11.42,-31.19,8.35,-5.824,0.333,12
HR≥-/EDG≥-5.0/TP≥-/CV≤0.6/UNDER,,-5.0,,0.6,UNDER,108,97,46,51,47.42,37.77,57.27,-11.44,-30.45,7.57,-11.098,0.417,12
HR≥-/EDG≥2.5/TP≥60.0/CV≤0.6/ANY,,2.5,60.0,0.6,ANY,54,50,30,20,60.0,46.18,72.39,-11.81,-32.03,8.41,-5.904,0.333,12
