combo,hr_min,edg_min,tp_min,cv_max,side,n_total,n_graded,wins,losses,HR_pct,HR_ci_lo,HR_ci_hi,ROI_pct,ROI_ci_lo,ROI_ci_hi,P_and_L,consistency,graded_days
HR≥-/EDG≥-5.0/TP≥55.0/CV≤0.5/ANY,,-5.0,55.0,0.5,ANY,118,107,70,37,65.42,56.02,73.76,2.49,-11.83,16.81,2.663,0.583,12
HR≥50.0/EDG≥-/TP≥60.0/CV≤0.6/OVER,50.0,,60.0,0.6,OVER,72,66,47,19,71.21,59.36,80.73,2.48,-13.43,18.39,1.638,0.5,12
HR≥-/EDG≥7.5/TP≥-/CV≤0.4/ANY,,7.5,,0.4,ANY,89,80,44,36,55.0,44.12,65.42,2.45,-18.66,23.55,1.957,0.636,11
HR≥50.0/EDG≥-/TP≥-/CV≤0.4/OVER,50.0,,,0.4,OVER,75,69,44,25,63.77,51.98,74.1,2.45,-16.46,21.37,1.694,0.615,13
HR≥50.0/EDG≥-/TP≥40.0/CV≤0.4/OVER,50.0,,40.0,0.4,OVER,75,69,44,25,63.77,51.98,74.1,2.45,-16.46,21.37,1.694,0.615,13
HR≥60.0/EDG≥-/TP≥50.0/CV≤0.7/ANY,60.0,,50.0,0.7,ANY,65,60,41,19,68.33,55.77,78.69,2.44,-15.58,20.45,1.462,0.636,11
HR≥50.0/EDG≥-/TP≥-/CV≤0.45/ANY,50.0,,,0.45,ANY,146,133,80,53,60.15,51.66,68.07,2.43,-12.37,17.23,3.235,0.538,13
HR≥-/EDG≥-2.5/TP≥40.0/CV≤0.5/ANY,,-2.5,40.0,0.5,ANY,245,225,127,98,56.44,49.91,62.76,2.42,-9.73,14.57,5.451,0.538,13
HR≥50.0/EDG≥-/TP≥65.0/CV≤-/OVER,50.0,,65.0,,OVER,67,60,43,17,71.67,59.23,81.49,2.4,-14.09,18.89,1.441,0.5,12
HR≥-/EDG≥-2.5/TP≥55.0/CV≤0.55/OVER,,-2.5,55.0,0.55,OVER,95,86,57,29,66.28,55.78,75.38,2.39,-13.27,18.05,2.055,0.583,12
HR≥-/EDG≥-/TP≥-/CV≤-/OVER,,,,,OVER,446,403,236,167,58.56,53.69,63.27,2.38,-6.36,11.12,9.601,0.462,13
HR≥50.0/EDG≥-/TP≥60.0/CV≤0.7/ANY,50.0,,60.0,0.7,ANY,79,73,52,21,71.23,59.99,80.35,2.38,-12.71,17.47,1.736,0.583,12
HR≥50.0/EDG≥7.5/TP≥40.0/CV≤-/ANY,50.0,7.5,40.0,,ANY,70,63,38,25,60.32,47.98,71.47,2.37,-18.9,23.64,1.492,0.636,11
HR≥50.0/EDG≥5.0/TP≥-/CV≤0.7/ANY,50.0,5.0,,0.7,ANY,77,71,42,29,59.15,47.54,69.83,2.35,-18.2,22.91,1.67,0.667,12
HR≥55.0/EDG≥-2.5/TP≥-/CV≤-/ANY,55.0,-2.5,,,ANY,75,69,44,25,63.77,51.98,74.1,2.33,-16.66,21.33,1.611,0.583,12
HR≥-/EDG≥0.0/TP≥-/CV≤0.45/ANY,,0.0,,0.45,ANY,177,161,90,71,55.9,48.18,63.34,2.32,-12.21,16.85,3.733,0.538,13
HR≥-/EDG≥0.0/TP≥55.0/CV≤0.7/OVER,,0.0,55.0,0.7,OVER,97,87,57,30,65.52,55.06,74.66,2.3,-13.54,18.13,1.997,0.583,12
