month,family,side,band,cfg,n,gr,w,l,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥10.0/CV≤0.7/μ≥0.0/TP≥-,155,34,26,8,76.47,-0.84,-19.62,17.94,-0.285,0.5,10
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥10.0/CV≤0.7/μ≥0.0/TP≥50,79,34,26,8,76.47,-0.84,-19.62,17.94,-0.285,0.5,10
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥10.0/CV≤0.7/μ≥0.0/TP≥55,79,34,26,8,76.47,-0.84,-19.62,17.94,-0.285,0.5,10
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥10.0/CV≤0.7/μ≥0.0/TP≥60,79,34,26,8,76.47,-0.84,-19.62,17.94,-0.285,0.5,10
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥10.0/CV≤0.7/μ≥0.0/TP≥65,79,34,26,8,76.47,-0.84,-19.62,17.94,-0.285,0.5,10
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥10.0/CV≤0.7/μ≥0.5/TP≥-,155,34,26,8,76.47,-0.84,-19.62,17.94,-0.285,0.5,10
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥10.0/CV≤0.7/μ≥0.5/TP≥50,79,34,26,8,76.47,-0.84,-19.62,17.94,-0.285,0.5,10
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥10.0/CV≤0.7/μ≥0.5/TP≥55,79,34,26,8,76.47,-0.84,-19.62,17.94,-0.285,0.5,10
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥10.0/CV≤0.7/μ≥0.5/TP≥60,79,34,26,8,76.47,-0.84,-19.62,17.94,-0.285,0.5,10
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥10.0/CV≤0.7/μ≥0.5/TP≥65,79,34,26,8,76.47,-0.84,-19.62,17.94,-0.285,0.5,10
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥70/EDG≥-/CV≤-/μ≥-/TP≥-,637,137,108,29,78.83,1.6,-7.26,10.45,2.188,0.615,13
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥70/EDG≥-/CV≤-/μ≥-/TP≥50,327,135,108,27,80.0,3.1,-5.63,11.84,4.188,0.615,13
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥70/EDG≥-/CV≤-/μ≥-/TP≥55,327,135,108,27,80.0,3.1,-5.63,11.84,4.188,0.615,13
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥70/EDG≥-/CV≤-/μ≥-/TP≥60,327,135,108,27,80.0,3.1,-5.63,11.84,4.188,0.615,13
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥70/EDG≥-/CV≤-/μ≥-/TP≥65,308,129,103,26,79.84,2.86,-6.1,11.82,3.685,0.615,13
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥70/EDG≥-/CV≤-/μ≥0.0/TP≥-,629,135,108,27,80.0,3.1,-5.63,11.84,4.188,0.615,13
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥70/EDG≥-/CV≤-/μ≥0.0/TP≥50,327,135,108,27,80.0,3.1,-5.63,11.84,4.188,0.615,13
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥70/EDG≥-/CV≤-/μ≥0.0/TP≥55,327,135,108,27,80.0,3.1,-5.63,11.84,4.188,0.615,13
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥70/EDG≥-/CV≤-/μ≥0.0/TP≥60,327,135,108,27,80.0,3.1,-5.63,11.84,4.188,0.615,13
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥70/EDG≥-/CV≤-/μ≥0.0/TP≥65,308,129,103,26,79.84,2.86,-6.1,11.82,3.685,0.615,13
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥70/EDG≥-/CV≤-/μ≥0.5/TP≥-,462,99,80,19,80.81,4.16,-5.9,14.22,4.117,0.692,13
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥70/EDG≥-/CV≤-/μ≥0.5/TP≥50,238,99,80,19,80.81,4.16,-5.9,14.22,4.117,0.692,13
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥70/EDG≥-/CV≤-/μ≥0.5/TP≥55,238,99,80,19,80.81,4.16,-5.9,14.22,4.117,0.692,13
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥70/EDG≥-/CV≤-/μ≥0.5/TP≥60,238,99,80,19,80.81,4.16,-5.9,14.22,4.117,0.692,13
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥70/EDG≥-/CV≤-/μ≥0.5/TP≥65,238,99,80,19,80.81,4.16,-5.9,14.22,4.117,0.692,13
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥70/EDG≥-/CV≤-/μ≥1.0/TP≥-,252,56,47,9,83.93,8.43,-4.12,20.98,4.72,0.75,12
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥70/EDG≥-/CV≤-/μ≥1.0/TP≥50,128,56,47,9,83.93,8.43,-4.12,20.98,4.72,0.75,12
