month,family,side,band,cfg,n,gr,w,l,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥1.0/TP≥65,47,39,27,12,69.23,-2.19,-22.96,18.58,-0.854,0.636,11
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤-/μ≥-/TP≥-,376,313,222,91,70.93,0.99,-6.2,8.18,3.095,0.538,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤-/μ≥-/TP≥50,376,313,222,91,70.93,0.99,-6.2,8.18,3.095,0.538,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤-/μ≥-/TP≥55,376,313,222,91,70.93,0.99,-6.2,8.18,3.095,0.538,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤-/μ≥-/TP≥60,376,313,222,91,70.93,0.99,-6.2,8.18,3.095,0.538,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤-/μ≥-/TP≥65,376,313,222,91,70.93,0.99,-6.2,8.18,3.095,0.538,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤-/μ≥0.0/TP≥-,376,313,222,91,70.93,0.99,-6.2,8.18,3.095,0.538,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤-/μ≥0.0/TP≥50,376,313,222,91,70.93,0.99,-6.2,8.18,3.095,0.538,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤-/μ≥0.0/TP≥55,376,313,222,91,70.93,0.99,-6.2,8.18,3.095,0.538,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤-/μ≥0.0/TP≥60,376,313,222,91,70.93,0.99,-6.2,8.18,3.095,0.538,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤-/μ≥0.0/TP≥65,376,313,222,91,70.93,0.99,-6.2,8.18,3.095,0.538,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤-/μ≥0.5/TP≥-,335,276,195,81,70.65,0.27,-7.38,7.92,0.743,0.538,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥0.0/CV≤-/μ≥0.5/TP≥50,335,276,195,81,70.65,0.27,-7.38,7.92,0.743,0.538,13
