band,cfg,hr_min,edg_min,cv_max,mu_min,tp_min,n_total,n_graded,wins,losses,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days
"[-299,-200]",HR≥-/EDG≥-/CV≤0.45/μ≥0.5/TP≥60,68.89,,0.45,0.5,60.0,93,90,62,28,68.89,-2.31,-15.98,11.35,-2.081,0.462,26
"[-299,-200]",HR≥-/EDG≥-/CV≤0.45/μ≥0.5/TP≥65,68.29,,0.45,0.5,65.0,85,82,56,26,68.29,-3.32,-17.69,11.05,-2.722,0.462,26
"[-299,-200]",HR≥-/EDG≥-/CV≤0.45/μ≥1.0/TP≥-,65.28,,0.45,1.0,,73,72,47,25,65.28,-7.26,-23.02,8.5,-5.224,0.36,25
"[-299,-200]",HR≥-/EDG≥-/CV≤0.45/μ≥1.0/TP≥50,65.28,,0.45,1.0,50.0,73,72,47,25,65.28,-7.26,-23.02,8.5,-5.224,0.36,25
"[-299,-200]",HR≥-/EDG≥-/CV≤0.45/μ≥1.0/TP≥55,65.28,,0.45,1.0,55.0,73,72,47,25,65.28,-7.26,-23.02,8.5,-5.224,0.36,25
"[-299,-200]",HR≥-/EDG≥-/CV≤0.45/μ≥1.0/TP≥60,65.28,,0.45,1.0,60.0,73,72,47,25,65.28,-7.26,-23.02,8.5,-5.224,0.36,25
"[-299,-200]",HR≥-/EDG≥-/CV≤0.45/μ≥1.0/TP≥65,65.71,,0.45,1.0,65.0,71,70,46,24,65.71,-6.71,-22.64,9.21,-4.7,0.4,25
"[-299,-200]",HR≥-/EDG≥-/CV≤0.4/μ≥-/TP≥-,73.26,,0.4,,,90,86,63,23,73.26,4.0,-9.39,17.38,3.438,0.615,26
"[-299,-200]",HR≥-/EDG≥-/CV≤0.4/μ≥-/TP≥50,73.33,,0.4,,50.0,79,75,55,20,73.33,3.96,-10.36,18.27,2.968,0.6,25
"[-299,-200]",HR≥-/EDG≥-/CV≤0.4/μ≥-/TP≥55,73.33,,0.4,,55.0,79,75,55,20,73.33,3.96,-10.36,18.27,2.968,0.6,25
"[-299,-200]",HR≥-/EDG≥-/CV≤0.4/μ≥-/TP≥60,74.32,,0.4,,60.0,78,74,55,19,74.32,5.36,-8.88,19.6,3.968,0.6,25
"[-299,-200]",HR≥-/EDG≥-/CV≤0.4/μ≥-/TP≥65,75.0,,0.4,,65.0,72,68,51,17,75.0,5.92,-8.75,20.6,4.027,0.625,24
"[-299,-200]",HR≥-/EDG≥-/CV≤0.4/μ≥0.0/TP≥-,73.61,,0.4,0.0,,75,72,53,19,73.61,4.28,-10.27,18.84,3.084,0.6,25
"[-299,-200]",HR≥-/EDG≥-/CV≤0.4/μ≥0.0/TP≥50,73.61,,0.4,0.0,50.0,75,72,53,19,73.61,4.28,-10.27,18.84,3.084,0.6,25
"[-299,-200]",HR≥-/EDG≥-/CV≤0.4/μ≥0.0/TP≥55,73.61,,0.4,0.0,55.0,75,72,53,19,73.61,4.28,-10.27,18.84,3.084,0.6,25
"[-299,-200]",HR≥-/EDG≥-/CV≤0.4/μ≥0.0/TP≥60,74.65,,0.4,0.0,60.0,74,71,53,18,74.65,5.75,-8.72,20.22,4.084,0.6,25
"[-299,-200]",HR≥-/EDG≥-/CV≤0.4/μ≥0.0/TP≥65,75.76,,0.4,0.0,65.0,69,66,50,16,75.76,7.03,-7.72,21.79,4.642,0.625,24
"[-299,-200]",HR≥-/EDG≥-/CV≤0.4/μ≥0.5/TP≥-,73.02,,0.4,0.5,,66,63,46,17,73.02,3.48,-12.21,19.17,2.191,0.591,22
"[-299,-200]",HR≥-/EDG≥-/CV≤0.4/μ≥0.5/TP≥50,73.02,,0.4,0.5,50.0,66,63,46,17,73.02,3.48,-12.21,19.17,2.191,0.591,22
"[-299,-200]",HR≥-/EDG≥-/CV≤0.4/μ≥0.5/TP≥55,73.02,,0.4,0.5,55.0,66,63,46,17,73.02,3.48,-12.21,19.17,2.191,0.591,22
"[-299,-200]",HR≥-/EDG≥-/CV≤0.4/μ≥0.5/TP≥60,73.02,,0.4,0.5,60.0,66,63,46,17,73.02,3.48,-12.21,19.17,2.191,0.591,22
"[-299,-200]",HR≥-/EDG≥-/CV≤0.4/μ≥0.5/TP≥65,74.58,,0.4,0.5,65.0,62,59,44,15,74.58,5.51,-10.38,21.4,3.25,0.571,21
"[-299,-200]",HR≥-/EDG≥-/CV≤0.4/μ≥1.0/TP≥-,71.15,,0.4,1.0,,53,52,37,15,71.15,1.09,-16.61,18.78,0.564,0.429,21
"[-299,-200]",HR≥-/EDG≥-/CV≤0.4/μ≥1.0/TP≥50,71.15,,0.4,1.0,50.0,53,52,37,15,71.15,1.09,-16.61,18.78,0.564,0.429,21
"[-299,-200]",HR≥-/EDG≥-/CV≤0.4/μ≥1.0/TP≥55,71.15,,0.4,1.0,55.0,53,52,37,15,71.15,1.09,-16.61,18.78,0.564,0.429,21
"[-299,-200]",HR≥-/EDG≥-/CV≤0.4/μ≥1.0/TP≥60,71.15,,0.4,1.0,60.0,53,52,37,15,71.15,1.09,-16.61,18.78,0.564,0.429,21
"[-299,-200]",HR≥-/EDG≥-/CV≤0.4/μ≥1.0/TP≥65,72.0,,0.4,1.0,65.0,51,50,36,14,72.0,2.18,-15.7,20.05,1.088,0.429,21
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥-/TP≥-,68.55,-5.0,,,,163,159,109,50,68.55,-3.09,-13.34,7.17,-4.909,0.444,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥-/TP≥50,68.55,-5.0,,,50.0,163,159,109,50,68.55,-3.09,-13.34,7.17,-4.909,0.444,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥-/TP≥55,68.55,-5.0,,,55.0,163,159,109,50,68.55,-3.09,-13.34,7.17,-4.909,0.444,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥-/TP≥60,68.55,-5.0,,,60.0,163,159,109,50,68.55,-3.09,-13.34,7.17,-4.909,0.444,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥-/TP≥65,70.67,-5.0,,,65.0,154,150,106,44,70.67,-0.24,-10.58,10.1,-0.366,0.556,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥0.0/TP≥-,68.55,-5.0,,0.0,,163,159,109,50,68.55,-3.09,-13.34,7.17,-4.909,0.444,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥0.0/TP≥50,68.55,-5.0,,0.0,50.0,163,159,109,50,68.55,-3.09,-13.34,7.17,-4.909,0.444,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥0.0/TP≥55,68.55,-5.0,,0.0,55.0,163,159,109,50,68.55,-3.09,-13.34,7.17,-4.909,0.444,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥0.0/TP≥60,68.55,-5.0,,0.0,60.0,163,159,109,50,68.55,-3.09,-13.34,7.17,-4.909,0.444,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥0.0/TP≥65,70.67,-5.0,,0.0,65.0,154,150,106,44,70.67,-0.24,-10.58,10.1,-0.366,0.556,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥0.5/TP≥-,68.55,-5.0,,0.5,,163,159,109,50,68.55,-3.09,-13.34,7.17,-4.909,0.444,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥0.5/TP≥50,68.55,-5.0,,0.5,50.0,163,159,109,50,68.55,-3.09,-13.34,7.17,-4.909,0.444,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥0.5/TP≥55,68.55,-5.0,,0.5,55.0,163,159,109,50,68.55,-3.09,-13.34,7.17,-4.909,0.444,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥0.5/TP≥60,68.55,-5.0,,0.5,60.0,163,159,109,50,68.55,-3.09,-13.34,7.17,-4.909,0.444,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥0.5/TP≥65,70.67,-5.0,,0.5,65.0,154,150,106,44,70.67,-0.24,-10.58,10.1,-0.366,0.556,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥1.0/TP≥-,68.28,-5.0,,1.0,,147,145,99,46,68.28,-3.45,-14.22,7.32,-5.004,0.444,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥1.0/TP≥50,68.28,-5.0,,1.0,50.0,147,145,99,46,68.28,-3.45,-14.22,7.32,-5.004,0.444,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥1.0/TP≥55,68.28,-5.0,,1.0,55.0,147,145,99,46,68.28,-3.45,-14.22,7.32,-5.004,0.444,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥1.0/TP≥60,68.28,-5.0,,1.0,60.0,147,145,99,46,68.28,-3.45,-14.22,7.32,-5.004,0.444,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥1.0/TP≥65,70.29,-5.0,,1.0,65.0,140,138,97,41,70.29,-0.7,-11.53,10.14,-0.961,0.481,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥-/TP≥-,68.92,-5.0,0.7,,,151,148,102,46,68.92,-2.59,-13.18,8.01,-3.83,0.444,27
"[-299,-200]",HR≥-/EDG≥-5.0/CV≤0.7/μ≥-/TP≥50,68.92,-5.0,0.7,,50.0,151,148,102,46,68.92,-2.59,-13.18,8.01,-3.83,0.444,27
