family,side,band,fold,cfg,n_total,n_graded,wins,losses,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days,max_win_day,max_loss_day
total_bases,OVER,"[-199,-150]",A: 05-03..06,loose       EDG≥5  CV≤0.70,8,7,3,4,42.86,-33.19,-94.95,28.57,-2.323,0.5,4,2026-05-05/1p/+0.54u,2026-05-03/2p/-2.00u
total_bases,OVER,"[-199,-150]",A: 05-03..06,edge-loose  EDG≥10 CV≤0.70,8,7,3,4,42.86,-33.19,-94.95,28.57,-2.323,0.5,4,2026-05-05/1p/+0.54u,2026-05-03/2p/-2.00u
total_bases,OVER,"[-199,-150]",A: 05-03..06,HR65 loose  HR≥65 EDG≥5  CV≤0.70,8,7,3,4,42.86,-33.19,-94.95,28.57,-2.323,0.5,4,2026-05-05/1p/+0.54u,2026-05-03/2p/-2.00u
total_bases,OVER,"[-199,-150]",B: 05-07..10,loose       EDG≥5  CV≤0.70,13,10,4,6,40.0,-37.58,-87.54,12.37,-3.758,0.333,3,2026-05-09/2p/+1.11u,2026-05-10/4p/-4.00u
total_bases,OVER,"[-199,-150]",B: 05-07..10,edge-loose  EDG≥10 CV≤0.70,10,7,4,3,57.14,-10.84,-72.64,50.97,-0.758,0.667,3,2026-05-09/2p/+1.11u,2026-05-10/2p/-2.00u
total_bases,OVER,"[-199,-150]",B: 05-07..10,HR65 loose  HR≥65 EDG≥5  CV≤0.70,11,8,4,4,50.0,-21.98,-79.79,35.83,-1.758,0.667,3,2026-05-09/2p/+1.11u,2026-05-10/3p/-3.00u
total_bases,OVER,"[-199,-150]",C: 05-11..15,loose       EDG≥5  CV≤0.70,12,11,8,3,72.73,15.63,-28.33,59.6,1.72,0.4,5,2026-05-12/4p/+2.37u,2026-05-11/1p/-1.00u
total_bases,OVER,"[-199,-150]",C: 05-11..15,edge-loose  EDG≥10 CV≤0.70,10,9,6,3,66.67,5.85,-46.06,57.76,0.527,0.4,5,2026-05-12/2p/+1.18u,2026-05-11/1p/-1.00u
total_bases,OVER,"[-199,-150]",C: 05-11..15,HR65 loose  HR≥65 EDG≥5  CV≤0.70,12,11,8,3,72.73,15.63,-28.33,59.6,1.72,0.4,5,2026-05-12/4p/+2.37u,2026-05-11/1p/-1.00u
total_bases,OVER,"[-149,-110]",OVERALL,loose       EDG≥5  CV≤0.70,10,8,6,2,75.0,31.14,-25.01,87.29,2.491,0.714,7,2026-05-03/1p/+0.80u,2026-05-14/1p/-1.00u
total_bases,OVER,"[-149,-110]",OVERALL,edge-loose  EDG≥10 CV≤0.70,8,6,4,2,66.67,15.84,-56.02,87.69,0.95,0.6,5,2026-05-09/1p/+0.77u,2026-05-14/1p/-1.00u
total_bases,OVER,"[-149,-110]",OVERALL,HR65 loose  HR≥65 EDG≥5  CV≤0.70,6,5,4,1,80.0,39.05,-29.2,107.31,1.953,0.8,5,2026-05-03/1p/+0.80u,2026-05-14/1p/-1.00u
total_bases,OVER,"[-149,-110]",A: 05-03..06,loose       EDG≥5  CV≤0.70,1,1,1,0,100.0,80.0,80.0,80.0,0.8,1.0,1,2026-05-03/1p/+0.80u,2026-05-03/1p/+0.80u
total_bases,OVER,"[-149,-110]",A: 05-03..06,HR65 loose  HR≥65 EDG≥5  CV≤0.70,1,1,1,0,100.0,80.0,80.0,80.0,0.8,1.0,1,2026-05-03/1p/+0.80u,2026-05-03/1p/+0.80u
total_bases,OVER,"[-149,-110]",B: 05-07..10,loose       EDG≥5  CV≤0.70,1,1,1,0,100.0,76.92,76.92,76.92,0.769,1.0,1,2026-05-09/1p/+0.77u,2026-05-09/1p/+0.77u
total_bases,OVER,"[-149,-110]",B: 05-07..10,edge-loose  EDG≥10 CV≤0.70,1,1,1,0,100.0,76.92,76.92,76.92,0.769,1.0,1,2026-05-09/1p/+0.77u,2026-05-09/1p/+0.77u
total_bases,OVER,"[-149,-110]",C: 05-11..15,loose       EDG≥5  CV≤0.70,8,6,4,2,66.67,15.36,-56.19,86.91,0.922,0.6,5,2026-05-13/1p/+0.77u,2026-05-14/1p/-1.00u
total_bases,OVER,"[-149,-110]",C: 05-11..15,edge-loose  EDG≥10 CV≤0.70,7,5,3,2,60.0,3.62,-79.35,86.6,0.181,0.5,4,2026-05-13/1p/+0.77u,2026-05-14/1p/-1.00u
total_bases,OVER,"[-149,-110]",C: 05-11..15,HR65 loose  HR≥65 EDG≥5  CV≤0.70,5,4,3,1,75.0,28.82,-55.41,113.04,1.153,0.75,4,2026-05-11/1p/+0.74u,2026-05-14/1p/-1.00u
